sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,25,,良好,1,0.12,28.7,27.8,16,5,1.5,2.4,0.8,0.5,291,"2023/07/28 23:00:00",0.1,5.2,11,0,121.760056,25.129167,1
汐止,新北市,32,,良好,0.5,0.31,3.3,5,18,10,17,22.2,5.1,0.6,340,"2023/07/28 23:00:00",0.4,9.8,18,0,121.64081,25.06624,2
萬里,新北市,18,,良好,,0.17,9.5,14.2,11,4,6.5,9,2.5,1.2,220,"2023/07/28 23:00:00",0.2,5.5,13,0,121.689881,25.179667,3
新店,新北市,20,,良好,0.9,0.28,3.9,8.8,22,3,10.8,14.8,3.9,1,183,"2023/07/28 23:00:00",0.3,5.2,20,1,121.537778,24.977222,4
土城,新北市,32,,良好,1.5,0.46,0.2,4.9,25,10,19.7,28.9,9.1,0.8,157,"2023/07/28 23:00:00",0.4,6.6,25,1,121.451861,24.982528,5
板橋,新北市,37,,良好,0.6,0.61,0.2,5.6,26,9,22.2,33.8,11.6,0.2,111,"2023/07/28 23:00:00",0.5,10.7,24,0,121.458667,25.012972,6
新莊,新北市,35,,良好,1.1,0.56,0,7.1,21,12,21,27.4,6.3,0.9,313,"2023/07/28 23:00:00",0.4,9.3,20,0,121.4325,25.037972,7
菜寮,新北市,42,,良好,0.9,0.57,0.5,4.7,17,12,25.9,33.2,7.2,1.4,72,"2023/07/28 23:00:00",0.5,9.4,18,0,121.481028,25.06895,8
林口,新北市,23,,良好,0.4,0.24,13.4,21.6,14,5,14.9,18,3.1,2.2,116,"2023/07/28 23:00:00",0.1,4.5,11,0,121.36548982,25.07798949,9
淡水,新北市,20,,良好,0.7,0.37,7.5,17.5,19,3,12.3,16.6,4.3,,,"2023/07/28 23:00:00",0.3,4.1,16,0,121.449239,25.1645,10
士林,臺北市,35,,良好,0.1,0.41,3.2,7.5,19,5,21.1,25.9,4.7,0.2,351,"2023/07/28 23:00:00",0.3,8.5,14,0,121.51666356,25.10334003,11
中山,臺北市,47,,良好,1.1,0.88,0,3.3,24,11,28.1,50.7,22.5,1.2,338,"2023/07/28 23:00:00",0.7,9.4,24,0,121.526528,25.062361,12
萬華,臺北市,45,,良好,1.7,0.85,0,5.3,19,15,27.9,47.7,19.7,1.5,104,"2023/07/28 23:00:00",0.7,10.6,18,0,121.507972,25.046503,13
古亭,臺北市,30,,良好,0.7,0.44,0.6,5.5,16,9,16.5,22.9,6.3,1.1,69,"2023/07/28 23:00:00",0.4,9.1,18,0,121.529556,25.020608,14
松山,臺北市,33,,良好,2.9,0.55,0.2,4.9,23,8,20.2,37,16.7,0.3,70,"2023/07/28 23:00:00",0.4,7.3,17,1,121.578611,25.05,15
大同,臺北市,54,細懸浮微粒,普通,1.6,2.17,0.3,1.3,,19,29.1,97,67.8,-,-,"2023/07/28 23:00:00",1.8,16.6,,1,121.51342074,25.06331455,16
桃園,桃園市,42,,良好,2.1,0.67,0,10.8,27,11,25.7,38.6,12.8,1.2,85,"2023/07/28 23:00:00",0.3,10.2,25,1,121.30500531,24.9947107,17
大園,桃園市,42,,良好,0.8,0.2,7.7,21.2,14,2,25.7,28,2.3,0.3,89,"2023/07/28 23:00:00",0.1,5,15,0,121.20251473,25.06100357,18
觀音,桃園市,22,,良好,0,0.14,13.5,24.7,17,10,10,10.8,0.8,1.3,86,"2023/07/28 23:00:00",0.1,4.1,14,0,121.08283092,25.03556747,19
平鎮,桃園市,33,,良好,0.7,0.41,6.3,16.1,23,12,20.4,22.1,1.7,1,96,"2023/07/28 23:00:00",0.2,7.5,17,0,121.203986,24.952786,20
龍潭,桃園市,40,,良好,0,0.4,2.3,14,30,13,18,21.5,3.4,0.2,141,"2023/07/28 23:00:00",0.3,12.4,23,0,121.21645772,24.86400048,21
湖口,新竹縣,19,,良好,0.7,0.18,14.3,20.3,20,6,9.5,10.8,1.3,1.9,65,"2023/07/28 23:00:00",0.1,4.7,15,0,121.03886894,24.90009696,22
竹東,新竹縣,29,,良好,1.1,0.28,6,11.7,29,10,9.1,10.1,1,0.4,71,"2023/07/28 23:00:00",0.2,8.9,17,0,121.08895493,24.74091408,23
